epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0682,2.17374,5.06529,1.74032,0.24666,0.08543,0.0264,0.0142,1.65694,4.68339,1.51283,6.672e-05,6.672e-05,6.672e-05
2,22.4562,1.51679,2.99282,1.29121,0.16307,0.5944,0.21765,0.14101,1.27868,4.47727,1.23737,0.000134871,0.000134871,0.000134871
3,31.6251,1.36904,2.1603,1.21766,0.25083,0.62293,0.33123,0.19966,1.3449,2.33388,1.27834,0.000201647,0.000201647,0.000201647
4,40.51,1.33997,1.91568,1.19783,0.2955,0.68943,0.36822,0.23334,1.18622,1.74328,1.19433,0.000267046,0.000267046,0.000267046
5,49.5743,1.29013,1.75749,1.16841,0.33126,0.70487,0.41989,0.26436,1.19546,1.59752,1.1774,0.000266991,0.000266991,0.000266991
6,58.2518,1.25397,1.67358,1.16137,0.34648,0.7575,0.42533,0.27215,1.14584,1.56226,1.14218,0.000264239,0.000264239,0.000264239
7,67.0216,1.23504,1.57442,1.14541,0.37162,0.72496,0.45007,0.28284,1.16987,1.52075,1.16689,0.000261487,0.000261487,0.000261487
8,75.9094,1.244,1.53801,1.15156,0.42419,0.78604,0.52053,0.33673,1.11975,1.39528,1.13964,0.000258735,0.000258735,0.000258735
9,84.645,1.2142,1.46507,1.13775,0.4113,0.81105,0.46308,0.29212,1.14534,1.41576,1.16207,0.000255982,0.000255982,0.000255982
10,93.0627,1.20489,1.45064,1.1399,0.43497,0.83085,0.49899,0.32252,1.1126,1.35823,1.13152,0.00025323,0.00025323,0.00025323
11,101.807,1.20703,1.39843,1.13121,0.47491,0.83505,0.59345,0.38404,1.11664,1.26659,1.15265,0.000250478,0.000250478,0.000250478
12,110.717,1.1727,1.34838,1.12048,0.42534,0.86023,0.47387,0.2982,1.18475,1.37841,1.15078,0.000247726,0.000247726,0.000247726
13,119.018,1.1924,1.34364,1.13068,0.42018,0.83272,0.50614,0.32606,1.15285,1.35414,1.1387,0.000244974,0.000244974,0.000244974
14,127.879,1.19001,1.31701,1.11932,0.51962,0.8307,0.65984,0.43498,1.11154,1.16268,1.13055,0.000242221,0.000242221,0.000242221
15,136.892,1.16012,1.28315,1.10694,0.46863,0.83147,0.60632,0.3909,1.12507,1.24458,1.13573,0.000239469,0.000239469,0.000239469
16,145.114,1.17809,1.27617,1.1167,0.45951,0.86531,0.5813,0.382,1.10595,1.23978,1.12944,0.000236717,0.000236717,0.000236717
17,153.934,1.15905,1.23772,1.10238,0.49658,0.8358,0.65035,0.43451,1.12955,1.17882,1.12131,0.000233965,0.000233965,0.000233965
18,162.9,1.13054,1.20374,1.08172,0.52862,0.81961,0.67459,0.43664,1.17527,1.17047,1.15359,0.000231213,0.000231213,0.000231213
19,171.106,1.13247,1.18301,1.09275,0.52426,0.75716,0.64213,0.4147,1.14882,1.29354,1.13818,0.00022846,0.00022846,0.00022846
20,179.958,1.11946,1.15984,1.09891,0.58598,0.78413,0.69614,0.45251,1.12783,1.17761,1.12711,0.000225708,0.000225708,0.000225708
21,188.873,1.12605,1.13378,1.09776,0.60825,0.78798,0.72624,0.46748,1.13402,1.13946,1.12687,0.000222956,0.000222956,0.000222956
22,197.191,1.14235,1.12186,1.09681,0.72582,0.80555,0.80044,0.52035,1.14369,1.03476,1.14308,0.000220204,0.000220204,0.000220204
23,206.107,1.11573,1.11233,1.08446,0.64142,0.7712,0.72972,0.48032,1.12133,1.11392,1.12843,0.000217452,0.000217452,0.000217452
24,215.084,1.10725,1.07088,1.07785,0.73539,0.80736,0.82856,0.54755,1.12339,0.96219,1.11724,0.000214699,0.000214699,0.000214699
25,223.398,1.11985,1.06561,1.08633,0.70837,0.7903,0.78996,0.51706,1.11914,1.05821,1.12558,0.000211947,0.000211947,0.000211947
26,232.189,1.11518,1.00881,1.08577,0.67889,0.77532,0.7959,0.52648,1.11557,1.14739,1.11563,0.000209195,0.000209195,0.000209195
27,240.955,1.10575,0.95965,1.07595,0.70857,0.81136,0.81751,0.5403,1.10879,0.99681,1.1196,0.000206443,0.000206443,0.000206443
28,249.275,1.07,0.92138,1.06083,0.62507,0.78085,0.74128,0.47195,1.17103,1.1452,1.13492,0.000203691,0.000203691,0.000203691
29,258.183,1.1091,0.92559,1.07196,0.67172,0.80999,0.7837,0.52243,1.12075,1.04954,1.11569,0.000200938,0.000200938,0.000200938
30,267.125,1.08953,0.90482,1.07491,0.7692,0.83696,0.85815,0.56084,1.1385,0.94242,1.1331,0.000198186,0.000198186,0.000198186
31,275.422,1.08609,0.85614,1.06332,0.81139,0.82246,0.86697,0.57643,1.10302,0.91632,1.10222,0.000195434,0.000195434,0.000195434
32,284.299,1.06433,0.84756,1.06622,0.82174,0.82645,0.86555,0.58251,1.10368,0.87079,1.10863,0.000192682,0.000192682,0.000192682
33,294.012,1.09084,0.8553,1.07154,0.81466,0.87874,0.90073,0.60607,1.08764,0.81697,1.10575,0.00018993,0.00018993,0.00018993
34,302.28,1.04993,0.83078,1.05324,0.80942,0.8563,0.89223,0.59694,1.10729,0.82035,1.11394,0.000187177,0.000187177,0.000187177
35,311.176,1.08985,0.83546,1.07203,0.75933,0.80781,0.84396,0.56266,1.13539,0.93554,1.11898,0.000184425,0.000184425,0.000184425
36,320.073,1.05944,0.79642,1.05972,0.83638,0.84779,0.86504,0.58213,1.08452,0.89613,1.09904,0.000181673,0.000181673,0.000181673
37,328.27,1.06008,0.7886,1.0623,0.85806,0.88007,0.90848,0.61093,1.09706,0.79163,1.10361,0.000178921,0.000178921,0.000178921
38,337.068,1.04056,0.74936,1.04849,0.677,0.82937,0.81899,0.54167,1.12695,1.10364,1.10744,0.000176169,0.000176169,0.000176169
39,345.949,1.0396,0.77233,1.05315,0.79631,0.76921,0.83067,0.57082,1.08043,0.96344,1.09513,0.000173416,0.000173416,0.000173416
40,354.199,1.05874,0.76732,1.05431,0.8271,0.81925,0.8645,0.58455,1.09862,0.91158,1.10751,0.000170664,0.000170664,0.000170664
41,363.082,1.07358,0.78341,1.06285,0.84649,0.83165,0.86703,0.58061,1.08571,0.90313,1.10461,0.000167912,0.000167912,0.000167912
42,371.887,1.03713,0.74933,1.05154,0.73788,0.79664,0.79357,0.5479,1.09147,1.03066,1.09979,0.00016516,0.00016516,0.00016516
43,380.054,1.04915,0.742,1.05829,0.8432,0.8646,0.88109,0.58898,1.11439,0.86884,1.12465,0.000162408,0.000162408,0.000162408
44,389.001,1.03126,0.70294,1.04178,0.8556,0.87753,0.89462,0.60761,1.10811,0.82265,1.10848,0.000159655,0.000159655,0.000159655
45,397.897,1.0274,0.68468,1.03569,0.83048,0.82356,0.87221,0.59607,1.08098,0.85114,1.10381,0.000156903,0.000156903,0.000156903
46,406.104,1.03039,0.69979,1.04081,0.85625,0.86028,0.89561,0.61338,1.06947,0.79086,1.08931,0.000154151,0.000154151,0.000154151
47,415.091,1.02054,0.68586,1.03584,0.84264,0.83871,0.86518,0.59724,1.0648,0.88572,1.09365,0.000151399,0.000151399,0.000151399
48,423.932,1.01915,0.69676,1.03923,0.75792,0.84442,0.85138,0.57744,1.09416,0.9192,1.09827,0.000148647,0.000148647,0.000148647
49,432.092,1.01764,0.66802,1.03888,0.85838,0.88409,0.90882,0.63336,1.04778,0.75871,1.08055,0.000145894,0.000145894,0.000145894
50,440.96,1.00337,0.67359,1.03181,0.81238,0.86233,0.88674,0.60916,1.05871,0.81344,1.09492,0.000143142,0.000143142,0.000143142
51,449.813,1.00443,0.68758,1.03566,0.81682,0.822,0.87054,0.60228,1.06125,0.86552,1.0905,0.00014039,0.00014039,0.00014039
52,458.087,0.99698,0.64792,1.0249,0.86808,0.8658,0.89148,0.61153,1.0718,0.81269,1.09308,0.000137638,0.000137638,0.000137638
53,467.596,0.99113,0.6498,1.02289,0.83434,0.83627,0.8712,0.60162,1.06103,0.88297,1.09337,0.000134886,0.000134886,0.000134886
54,476.52,0.97539,0.6425,1.0224,0.84098,0.86677,0.88797,0.62118,1.05497,0.80348,1.09396,0.000132133,0.000132133,0.000132133
55,484.819,0.97991,0.64347,1.02262,0.83257,0.85365,0.88077,0.61686,1.06396,0.81341,1.08824,0.000129381,0.000129381,0.000129381
